"year","Ts","dOsea","dTsVscales"
-3585000,3.677984,3.16,2.80509001843482
-3580000,3.605736,3.18,2.66389113542658
-3575000,4.480104,2.94,4.37272438947035
-3570000,4.664294,2.89,4.73269867611204
-3565000,4.07735,3.05,3.5855965115069
-3560000,3.750344,3.14,2.94650779019981
-3555000,3.822816,3.12,3.08814445072153
-3550000,3.859094,3.11,3.15904486426618
-3545000,4.223414,3.01,3.87105872011775
-3540000,4.553696,2.92,4.51654993755947
-3535000,4.223414,3.01,3.87105872011775
-3530000,3.750344,3.14,2.94650779019981
-3525000,3.605736,3.18,2.66389113542658
-3520000,3.859094,3.11,3.15904486426618
-3515000,4.113824,3.04,3.65687998037583
-3510000,4.369926,2.97,4.15739648375555
-3505000,4.44335,2.95,4.30089369870956
-3500000,4.516886,2.93,4.44460980242031
-3495000,4.040904,3.06,3.51436776482715
-3490000,4.333256,2.98,4.08572995956232
-3485000,4.26,3,3.94256107774342
-3480000,4.664294,2.89,4.73269867611204
-3475000,4.553696,2.92,4.51654993755947
-3470000,3.931734,3.09,3.30100985792301
-3465000,3.425606,3.23,2.3118515662167
-3460000,4.004486,3.07,3.44319374033659
-3455000,4.150326,3.03,3.72821817143395
-3450000,3.822816,3.12,3.08814445072153
-3445000,4.113824,3.04,3.65687998037583
-3440000,4.6274,2.9,4.66059437440533
-3435000,4.6274,2.9,4.66059437440533
-3430000,3.859094,3.11,3.15904486426618
-3425000,3.5336,3.2,2.52291114117507
-3420000,3.8954,3.1,3.23
-3415000,4.296614,2.99,4.01411815755828
-3410000,3.968096,3.08,3.37207443803521
-3405000,3.750344,3.14,2.94650779019981
-3400000,3.786566,3.13,3.01729875936608
-3395000,3.968096,3.08,3.37207443803521
-3390000,3.677984,3.16,2.80509001843482
-3385000,3.35375,3.25,2.17141879385704
-3380000,2.99615,3.35,1.47253826340985
-3375000,2.99615,3.35,1.47253826340985
-3370000,3.71415,3.15,2.87577154322273
-3365000,3.859094,3.11,3.15904486426618
-3360000,3.641846,3.17,2.73446321583611
-3355000,3.461576,3.22,2.3821500356803
-3350000,3.605736,3.18,2.66389113542658
-3345000,3.138854,3.31,1.75143380931851
-3340000,2.782934,3.41,1.05583661022241
-3335000,3.35375,3.25,2.17141879385704
-3330000,3.497574,3.21,2.4525032273331
-3325000,3.5336,3.2,2.52291114117507
-3320000,3.8954,3.1,3.23
-3315000,3.461576,3.22,2.3821500356803
-3310000,2.924966,3.37,1.33341882359063
-3305000,2.747496,3.42,0.986577862353313
-3300000,1.731974,3.71,-0.99812167355495
-3295000,1.628264,3.74,-1.20080875356803
-3290000,1.94015,3.65,-0.591270014420792
-3285000,2.8184,3.4,1.12515008028069
-3280000,3.317864,3.26,2.10128449096099
-3275000,3.067446,3.33,1.61187659198581
-3270000,3.282006,3.27,2.03120491025412
-3265000,3.103136,3.32,1.68162783955757
-3260000,3.677984,3.16,2.80509001843482
-3255000,3.641846,3.17,2.73446321583611
-3250000,4.150326,3.03,3.72821817143395
-3245000,4.113824,3.04,3.65687998037583
-3240000,4.113824,3.04,3.65687998037583
-3235000,3.389664,3.24,2.24160781894228
-3230000,3.786566,3.13,3.01729875936608
-3225000,3.497574,3.21,2.4525032273331
-3220000,3.786566,3.13,3.01729875936608
-3215000,3.5336,3.2,2.52291114117507
-3210000,4.186856,3.02,3.79961108468126
-3205000,4.26,3,3.94256107774342
-3200000,4.186856,3.02,3.79961108468126
-3195000,3.931734,3.09,3.30100985792301
-3190000,4.44335,2.95,4.30089369870956
-3185000,3.968096,3.08,3.37207443803521
-3180000,3.677984,3.16,2.80509001843482
-3175000,3.569654,3.19,2.59337377720623
-3170000,3.750344,3.14,2.94650779019981
-3165000,4.113824,3.04,3.65687998037583
-3160000,4.223414,3.01,3.87105872011775
-3155000,4.44335,2.95,4.30089369870956
-3150000,3.677984,3.16,2.80509001843482
-3145000,2.99615,3.35,1.47253826340985
-3140000,2.889416,3.38,1.2639411869648
-3135000,2.64135,3.45,0.779129951881145
