"","years.BP.2000","permille"
"685","17.100.000",-40.27
"686","17.150.000",-40.27
"687","17.150.000",-40.18
"688","17.200.000",-40.18
"689","17.200.000",-41.44
"690","17.250.000",-41.44
"691","17.250.000",-40.66
"692","17.300.000",-40.66
"693","17.300.000",-41.15
"694","17.350.000",-41.15
"695","17.350.000",-41.88
"696","17.400.000",-41.88
"697","17.400.000",-42.16
"698","17.450.000",-42.16
"699","17.450.000",-42.6
"700","17.500.000",-42.6
"701","17.500.000",-41.8
"702","17.550.000",-41.8
"703","17.550.000",-42.53
"704","17.600.000",-42.53
"705","17.600.000",-41.83
"706","17.650.000",-41.83
"707","17.650.000",-41.35
"708","17.700.000",-41.35
"709","17.700.000",-42.07
"710","17.750.000",-42.07
"711","17.750.000",-42.47
"712","17.800.000",-42.47
"713","17.800.000",-42.63
"714","17.850.000",-42.63
"715","17.850.000",-42.35
"716","17.900.000",-42.35
"717","17.900.000",-42.25
"718","17.950.000",-42.25
"719","17.950.000",-41.69
"720","18.000.000",-41.69
"721","18.000.000",-40.73
"722","18.050.000",-40.73
"723","18.050.000",-41.66
"724","18.100.000",-41.66
"725","18.100.000",-40.93
"726","18.150.000",-40.93
"727","18.150.000",-41.45
"728","18.200.000",-41.45
"729","18.200.000",-42.09
"730","18.250.000",-42.09
"731","18.250.000",-41.28
"732","18.300.000",-41.28
"733","18.300.000",-41.04
"734","18.350.000",-41.04
"735","18.350.000",-41.89
"736","18.400.000",-41.89
"737","18.400.000",-41.32
"738","18.450.000",-41.32
"739","18.450.000",-42.19
"740","18.500.000",-42.19
"741","18.500.000",-41.71
"742","18.550.000",-41.71
"743","18.550.000",-42.34
"744","18.600.000",-42.34
"745","18.600.000",-42.48
"746","18.650.000",-42.48
"747","18.650.000",-42.31
"748","18.700.000",-42.31
"749","18.700.000",-41.37
"750","18.750.000",-41.37
"751","18.750.000",-42.18
"752","18.800.000",-42.18
"753","18.800.000",-42.82
"754","18.850.000",-42.82
"755","18.850.000",-41.26
"756","18.900.000",-41.26
"757","18.900.000",-41.97
"758","18.950.000",-41.97
"759","18.950.000",-41.52
"760","19.000.000",-41.52
"761","19.000.000",-41.13
"762","19.050.000",-41.13
"763","19.050.000",-41.05
"764","19.100.000",-41.05
"765","19.100.000",-41.36
"766","19.150.000",-41.36
"767","19.150.000",-42.82
"768","19.200.000",-42.82
"769","19.200.000",-40.88
"770","19.250.000",-40.88
"771","19.250.000",-40.98
"772","19.300.000",-40.98
"773","19.300.000",-42.6
"774","19.350.000",-42.6
"775","19.350.000",-41.77
"776","19.400.000",-41.77
"777","19.400.000",-42.57
"778","19.450.000",-42.57
"779","19.450.000",-42.18
"780","19.500.000",-42.18
"781","19.500.000",-42.22
"782","19.550.000",-42.22
"783","19.550.000",-41.73
"784","19.600.000",-41.73
"785","19.600.000",-42.29
"786","19.650.000",-42.29
"787","19.650.000",-42.01
"788","19.700.000",-42.01
"789","19.700.000",-42.9
"790","19.750.000",-42.9
"791","19.750.000",-43.2
"792","19.800.000",-43.2
"793","19.800.000",-43.34
"794","19.850.000",-43.34
"795","19.850.000",-42.38
"796","19.900.000",-42.38
"797","19.900.000",-42.76
"798","19.950.000",-42.76
"799","19.950.000",-43.87
"800","20.000.000",-43.87
"801","20.000.000",-42.03
"802","20.050.000",-42.03
"803","20.050.000",-41.01
"804","20.100.000",-41.01
"805","20.100.000",-41.79
"806","20.150.000",-41.79
"807","20.150.000",-42.28
"808","20.200.000",-42.28
"809","20.200.000",-42.11
"810","20.250.000",-42.11
"811","20.250.000",-42.7
"812","20.300.000",-42.7
"813","20.300.000",-42.49
"814","20.350.000",-42.49
"815","20.350.000",-42.75
"816","20.400.000",-42.75
"817","20.400.000",-44.28
"818","20.450.000",-44.28
"819","20.450.000",-42.61
"820","20.500.000",-42.61
"821","20.500.000",-43.15
"822","20.550.000",-43.15
"823","20.550.000",-42.06
"824","20.600.000",-42.06
"825","20.600.000",-42.96
"826","20.650.000",-42.96
"827","20.650.000",-43.29
"828","20.700.000",-43.29
"829","20.700.000",-42.14
"830","20.750.000",-42.14
"831","20.750.000",-42.41
"832","20.800.000",-42.41
"833","20.800.000",-42.77
"834","20.850.000",-42.77
"835","20.850.000",-42.07
"836","20.900.000",-42.07
"837","20.900.000",-43.05
"838","20.950.000",-43.05
"839","20.950.000",-42.14
"840","21.000.000",-42.14
"841","21.000.000",-41.71
"842","21.050.000",-41.71
"843","21.050.000",-42.65
"844","21.100.000",-42.65
"845","21.100.000",-42.95
"846","21.150.000",-42.95
"847","21.150.000",-43.75
"848","21.200.000",-43.75
"849","21.200.000",-42.91
"850","21.250.000",-42.91
"851","21.250.000",-43.28
"852","21.300.000",-43.28
"853","21.300.000",-42.36
"854","21.350.000",-42.36
"855","21.350.000",-41.85
"856","21.400.000",-41.85
"857","21.400.000",-42.83
"858","21.450.000",-42.83
